time_rel(sec),velocity(m/s)
73504.15094339622,704.9999999999999
73504.30188679245,995.0
73504.45283018867,927.0
73504.60377358491,504.0
73505.35849056604,143.0
73505.50943396226,386.0
73505.6603773585,322.0
73507.92452830188,74.0
73508.07547169812,151.0
73508.22641509434,155.0
73508.37735849057,90.0
73508.52830188679,36.0
73508.67924528301,119.00000000000001
73508.83018867925,420.0
73508.98113207547,871.0
73509.1320754717,1244.0
73509.28301886792,1260.0
73509.43396226416,783.0
73510.3396226415,400.99999999999994
73510.49056603774,560.0
73510.64150943396,103.0
73511.39622641509,586.0
73511.54716981133,1273.0
73511.69811320755,1236.0
73511.84905660378,511.0
73512.60377358491,239.0
73512.75471698113,656.0
73512.90566037736,542.0
73513.05660377358,54.0
73513.6603773585,608.0
73513.81132075471,1124.0
73513.96226415095,1170.0
73514.11320754717,692.0
73515.01886792453,142.0
73515.16981132075,260.0
73516.07547169812,486.0
73516.22641509434,1216.0
73516.37735849057,1492.9999999999998
73516.52830188679,1187.0
73516.67924528301,480.0
73517.43396226416,443.0
73517.58490566038,582.0
73517.7358490566,323.0
73518.94339622642,56.0
73519.09433962264,52.0
73519.24528301887,22.0
73519.39622641509,8.0
73519.54716981133,31.0
73519.69811320755,98.0
73519.84905660378,191.99999999999997
73520.0,262.0
73520.15094339622,246.0
73520.30188679245,120.0
73520.90566037736,115.99999999999999
73521.05660377358,347.0
73521.2075471698,392.0
73521.35849056604,158.00000000000003
73522.11320754717,2.0
73522.2641509434,212.0
73522.41509433962,127.0
73522.8679245283,43.0
73523.01886792453,603.0
73523.16981132075,1116.0
73523.32075471699,1195.0
73523.47169811321,702.0
73524.22641509434,89.0
73524.37735849057,505.00000000000006
73524.52830188679,451.99999999999994
73524.67924528301,30.0
73526.18867924529,176.0
73526.3396226415,437.0
73526.49056603774,462.0
73526.64150943396,250.0
73527.24528301887,102.00000000000001
73527.39622641509,264.0
73527.54716981133,273.0
73527.69811320755,152.0
73527.84905660378,17.0
73528.15094339622,15.0
73528.30188679245,70.0
73528.45283018867,52.0
73530.2641509434,23.999999999999996
73530.8679245283,78.0
73531.01886792453,520.0
73531.16981132075,961.9999999999999
73531.32075471699,1150.0
73531.47169811321,951.0
73531.62264150943,453.0
73532.37735849057,131.0
73532.52830188679,164.0
73534.3396226415,145.0
73534.49056603774,245.0
73534.64150943396,268.0
73534.7924528302,239.0
73534.94339622642,210.0
73535.09433962264,214.99999999999997
73535.24528301887,244.00000000000003
73535.39622641509,256.0
73535.54716981133,225.0
73535.69811320755,160.0
73535.84905660378,99.00000000000001
73536.0,68.0
73536.15094339622,57.99999999999999
73536.30188679245,33.0
73538.2641509434,75.0
73538.41509433962,31.0
73538.8679245283,242.0
73539.01886792453,733.0
73539.16981132075,1198.0
73539.32075471699,1335.0
73539.47169811321,968.0
73539.62264150943,198.00000000000003
73540.52830188679,218.0
73540.67924528301,57.99999999999999
73541.43396226416,164.0
73541.58490566038,897.0
73541.7358490566,1316.0
73541.88679245283,1244.0
73542.03773584905,733.0
73542.18867924529,31.0
73542.94339622642,331.0
73543.09433962264,388.0
73543.24528301887,47.0
73544.0,497.0
73544.15094339622,1076.0
73544.30188679245,1144.0
73544.45283018867,672.0
73545.2075471698,20.0
73545.35849056604,437.0
73545.50943396226,512.0
73545.6603773585,222.0
73546.56603773584,444.0
73546.71698113208,978.0
73546.8679245283,1153.0
73547.01886792453,857.0
73547.16981132075,201.0
73547.92452830188,458.0
73548.07547169812,721.0
73548.22641509434,441.0
73548.98113207547,571.0
73549.1320754717,1133.0
73549.28301886792,1061.0
73549.43396226416,367.00000000000006
73550.18867924529,409.0
73550.3396226415,814.0
73550.49056603774,585.0
73551.24528301887,173.0
73551.39622641509,987.0
73551.54716981133,1286.0
73551.69811320755,893.0
73551.84905660378,34.0
73552.60377358491,554.0
73552.75471698113,724.0000000000001
73552.90566037736,335.0
73553.50943396226,178.0
73553.6603773585,993.0
73553.81132075471,1391.0
73553.96226415095,1084.0
73554.11320754717,217.0
73554.8679245283,294.0
73555.01886792453,527.0
73555.16981132075,222.0
73555.92452830188,669.0
73556.07547169812,1162.0
