time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec),velocity(m/s)
1973-04-23T13:38:14.081906,49093.58490566038,9.603566316841189e-11
1973-04-23T13:38:14.232849,49093.73584905661,1.7609583534317875e-10
1973-04-23T13:38:14.383792,49093.88679245283,2.1385499254337955e-10
1973-04-23T13:38:14.534736,49094.03773584906,2.6958667208819073e-10
1973-04-23T13:38:14.685679,49094.188679245286,3.877517023795723e-10
1973-04-23T13:38:14.836623,49094.33962264151,5.473146996059086e-10
1973-04-23T13:38:14.987566,49094.49056603773,6.677244825908852e-10
1973-04-23T13:38:15.138509,49094.64150943396,6.710390422620415e-10
1973-04-23T13:38:15.289453,49094.79245283019,5.50734904436583e-10
1973-04-23T13:38:15.440396,49094.943396226416,3.866396766013441e-10
1973-04-23T13:38:15.591340,49095.09433962264,2.8622539024390314e-10
1973-04-23T13:38:15.742283,49095.24528301887,2.9447155834476795e-10
1973-04-23T13:38:15.893226,49095.3962264151,3.46228212404317e-10
1973-04-23T13:38:16.044170,49095.54716981132,3.0677735883710687e-10
1973-04-23T13:38:16.195113,49095.698113207545,7.691709495799439e-11
1973-04-23T13:38:18.006434,49097.50943396227,6.944169338494973e-12
1973-04-23T13:38:18.157377,49097.660377358494,3.2063254373863117e-10
1973-04-23T13:38:18.308321,49097.81132075472,4.6133299713091766e-10
1973-04-23T13:38:18.459264,49097.96226415094,4.0053088781043317e-10
1973-04-23T13:38:18.610208,49098.11320754717,2.3555799225687726e-10
1973-04-23T13:38:18.761151,49098.2641509434,1.1358902205251219e-10
1973-04-23T13:38:18.912094,49098.41509433962,1.3098518285687743e-10
1973-04-23T13:38:19.063038,49098.56603773585,2.8016001357479837e-10
1973-04-23T13:38:19.213981,49098.71698113208,4.725991193611118e-10
1973-04-23T13:38:19.364925,49098.8679245283,6.08320459328663e-10
1973-04-23T13:38:19.515868,49099.018867924526,6.347492668275973e-10
1973-04-23T13:38:19.666811,49099.16981132075,5.57833911203504e-10
1973-04-23T13:38:19.817755,49099.32075471698,4.1240540279469045e-10
1973-04-23T13:38:19.968698,49099.47169811321,2.2835557836840688e-10
1973-04-23T13:38:20.119642,49099.62264150944,2.260169216031433e-11
1973-04-23T13:38:22.987566,49102.49056603773,1.804748421128909e-10
1973-04-23T13:38:23.138509,49102.64150943396,4.662921524891848e-10
1973-04-23T13:38:23.289453,49102.79245283019,6.94353771979497e-10
1973-04-23T13:38:23.440396,49102.943396226416,7.658149135005093e-10
